Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1821.129098
FDW14,OUT017,1501.475187
NCN55,OUT010,1910.611066
FDQ58,OUT017,2555.154837
FDY38,OUT027,5163.406611
FDH56,OUT046,1965.641223
FDL48,OUT018,570.5249438
FDC48,OUT027,2779.96333
FDN33,OUT045,1488.938215
FDA36,OUT017,3050.893512
FDT44,OUT017,1984.273593
FDQ56,OUT045,1327.841508
NCC54,OUT019,1906.241011
FDU11,OUT049,2045.943718
DRL59,OUT013,952.33845
FDM24,OUT049,2502.288951
FDI57,OUT045,3092.205863
DRC12,OUT018,2781.938576
NCM42,OUT027,3225.496996
FDA46,OUT010,1163.072424
FDA31,OUT013,2865.964052
NCJ31,OUT035,3876.033314
FDG52,OUT046,885.5893158
NCL19,OUT019,380.1637207
FDS10,OUT035,2955.030328
FDX22,OUT010,1408.607658
NCF19,OUT035,883.4606134
NCE06,OUT046,2654.049244
DRC27,OUT046,3950.111533
FDE21,OUT035,1956.304809
NCR42,OUT019,-1335.511237
FDX51,OUT018,2824.36324
NCR06,OUT018,450.8290069
FDU31,OUT027,4906.978894
FDU59,OUT017,2698.643069
FDR03,OUT027,4710.0926
FDS49,OUT027,2769.151763
FDD48,OUT010,-77.05229736
NCF18,OUT017,3132.711618
NCD43,OUT027,3127.545567
NCD54,OUT018,2021.951382
FDY19,OUT010,-36.14324431
NCY54,OUT017,2849.379469
NCL19,OUT018,2044.800698
FDP23,OUT010,1528.795312
FDC26,OUT013,1888.450866
FDR14,OUT010,-982.4945938
NCS41,OUT035,2994.383312
FDF41,OUT035,4004.041771
FDU34,OUT046,2086.320595
DRH11,OUT046,1030.633616
FDM03,OUT013,1802.947988
FDS31,OUT017,2959.698535
FDJ20,OUT017,2046.394978
FDV44,OUT027,4455.220952
FDG02,OUT049,3080.869625
FDA09,OUT013,2938.445745
FDT04,OUT013,739.9723821
FDL58,OUT019,2261.603593
FDE52,OUT045,1401.919727
FDW12,OUT035,2396.597634
FDL51,OUT017,3488.0742
NCY42,OUT027,3718.083075
FDR07,OUT017,1649.139908
FDN40,OUT045,2375.215966
FDB35,OUT027,2925.007631
FDA22,OUT017,2722.927081
NCL06,OUT046,4228.324215
FDI35,OUT013,2963.30239
NCW42,OUT045,3448.060162
NCX06,OUT049,2945.161738
FDC37,OUT027,3202.196419
FDZ14,OUT018,1695.130217
DRG49,OUT049,3958.956229
NCG06,OUT045,3986.755676
DRC36,OUT045,2702.077589
FDV21,OUT019,108.2157722
FDB53,OUT046,2455.647339
DRP47,OUT019,2093.258716
FDA14,OUT013,2401.757559
DRC24,OUT035,2518.833076
FDW21,OUT018,1356.843937
NCH29,OUT046,1657.903688
FDU58,OUT013,3078.862296
FDY27,OUT017,2906.832648
FDV56,OUT035,1838.205399
FDT59,OUT046,3730.497296
FDB23,OUT046,3651.75087
FDR49,OUT045,718.5907142
FDB03,OUT010,1918.391411
FDN39,OUT045,2578.777796
FDX02,OUT027,4990.844787
FDQ16,OUT027,3195.931686
FDU35,OUT018,1338.703285
NCT29,OUT013,2043.323298
FDZ27,OUT046,891.732676
FDN57,OUT017,2327.67934
FDA03,OUT018,2056.676617
FDZ36,OUT045,2889.095293
NCU05,OUT013,1405.652461
FDT39,OUT018,2142.671212
FDK60,OUT017,1655.323726
FDZ25,OUT017,2776.816861
FDG12,OUT046,2042.83158
DRB01,OUT019,1145.843015
NCC43,OUT027,5418.2378
FDX13,OUT019,2033.676835
FDM22,OUT049,968.4313152
FDJ03,OUT027,2279.064731
FDU14,OUT018,3677.552741
FDB33,OUT010,623.3125582
FDP27,OUT046,3109.411042
FDO38,OUT010,-657.7616739
FDE28,OUT027,5129.745727
FDO27,OUT035,1626.822767
DRL23,OUT027,3185.079661
FDS28,OUT046,1013.4764
FDX24,OUT013,1582.801576
FDZ02,OUT035,1642.342998
FDL46,OUT045,1818.871518
FDS60,OUT027,4300.348521
NCO06,OUT017,657.0899249
FDO16,OUT035,1459.542241
FDC60,OUT049,1501.966905
FDA48,OUT018,3217.522736
FDZ36,OUT027,4419.512282
FDK27,OUT045,1876.897329
FDW23,OUT018,394.8914398
FDM14,OUT018,1504.508657
FDM14,OUT013,1826.780741
FDW60,OUT018,2558.14785
FDE21,OUT013,1954.74874
NCM42,OUT035,1844.921393
FDY59,OUT010,-389.3771233
DRI49,OUT049,1408.232423
FDT28,OUT019,519.0242029
FDQ22,OUT018,406.807816
FDR60,OUT049,1333.622028
FDC50,OUT019,-361.1101879
FDV24,OUT013,2504.909371
DRF48,OUT010,1080.230424
FDQ47,OUT046,712.0440564
DRN36,OUT049,1657.944146
NCY06,OUT035,2143.773773
FDE52,OUT035,1536.200422
NCB54,OUT045,1974.276125
NCF31,OUT035,2517.317465
FDJ08,OUT027,4471.805535
NCC07,OUT017,1793.652032
NCD19,OUT027,2355.190737
FDL46,OUT049,1993.610006
FDM20,OUT045,3830.367633
NCI06,OUT010,956.9306319
DRM11,OUT035,4178.03829
NCH07,OUT018,2256.634591
FDS23,OUT013,2157.818852
FDO49,OUT018,554.9237963
FDS35,OUT049,1158.561158
DRK39,OUT045,1283.247683
DRI39,OUT049,1049.798161
FDV04,OUT017,2601.755991
NCN14,OUT035,2983.490829
FDH08,OUT013,3738.809816
FDS20,OUT046,2990.779456
FDV40,OUT049,1316.05401
FDZ48,OUT010,-130.9420777
FDS24,OUT027,2880.98644
FDK44,OUT049,2856.095463
FDS48,OUT045,2340.531189
FDK26,OUT010,1057.421566
FDD23,OUT045,2933.689117
NCH54,OUT017,2655.645771
NCP14,OUT010,-193.5551807
FDM60,OUT010,-1237.938875
FDV24,OUT017,2497.129026
FDH08,OUT018,3351.182836
FDS12,OUT027,3504.733572
FDR39,OUT027,4329.341198
FDP12,OUT027,2086.395384
DRF60,OUT027,5198.05093
FDC09,OUT035,1741.318321
FDF50,OUT018,2880.87344
FDG28,OUT035,3938.195157
NCE19,OUT017,1006.268688
NCM53,OUT010,-167.1424661
NCN18,OUT049,1869.245863
FDF32,OUT035,3241.515072
FDF11,OUT013,3868.785144
DRI59,OUT049,3647.123121
NCG54,OUT035,2780.420717
FDM44,OUT046,1720.557249
FDT57,OUT018,3466.702284
FDV24,OUT046,2495.572957
FDI50,OUT019,1710.419069
FDS09,OUT035,939.4386383
NCC31,OUT027,3924.265325
FDQ07,OUT019,1573.646831
FDC22,OUT017,3128.535129
FDZ56,OUT046,2777.881213
FDZ40,OUT019,-995.668887
FDS46,OUT027,3360.672707
DRD24,OUT045,2187.174369
FDV45,OUT017,3086.110465
FDL26,OUT045,2423.413646
FDA56,OUT018,1705.490524
FDN27,OUT046,1981.69363
FDM20,OUT049,3955.311915
FDO16,OUT017,1431.533
FDL03,OUT035,3186.560941
FDE58,OUT046,1963.51252
FDI02,OUT027,3264.84998
NCC55,OUT019,-1229.779463
FDR03,OUT018,2993.240292
FDB14,OUT017,1583.825469
FDR45,OUT013,3891.634461
NCN07,OUT017,2166.050457
FDM51,OUT019,-243.5024956
FDT52,OUT027,5329.663243
FDL26,OUT046,2543.689721
NCZ42,OUT046,3860.55354
DRI47,OUT019,430.981821
FDW40,OUT013,2339.595716
FDN34,OUT046,2775.792968
FDS01,OUT035,2918.257306
NCG55,OUT045,1807.527775
FDC11,OUT035,1502.990798
FDX35,OUT018,3313.877639
NCB06,OUT046,2638.529013
FDR09,OUT019,2209.310339
FDC53,OUT017,1651.147237
FDY45,OUT013,4114.360836
FDA22,OUT010,770.9772786
FDE02,OUT035,1625.307155
FDW21,OUT045,1568.176359
FDV34,OUT046,1288.044768
FDS59,OUT049,1841.277079
NCW17,OUT017,2132.921748
NCK54,OUT046,1966.665116
FDG17,OUT019,1965.822892
FDG35,OUT017,2835.866566
FDD08,OUT010,-1262.263345
NCO07,OUT017,3428.451861
FDJ10,OUT010,362.789268
FDW36,OUT017,1761.998477
FDW21,OUT010,-279.0580581
FDY19,OUT017,1979.605386
DRE03,OUT013,875.1885508
NCC55,OUT049,736.900702
FDH52,OUT010,-861.2830458
FDO09,OUT017,4261.493381
FDU43,OUT045,3725.208493
FDX09,OUT010,872.4516478
FDH40,OUT019,-541.3309831
FDW58,OUT017,1768.222753
FDC47,OUT017,3679.187478
NCR41,OUT035,1611.794253
DRG49,OUT035,3951.175884
FDC52,OUT027,3888.064937
FDY13,OUT046,1303.032824
FDY35,OUT013,828.0147641
FDI35,OUT017,2971.082735
NCU18,OUT049,2343.772205
FDY33,OUT018,2257.658484
FDC15,OUT027,3969.883043
FDU01,OUT049,3044.669236
NCU42,OUT046,2780.99335
NCV29,OUT018,2555.527429
NCY30,OUT017,2988.731669
FDQ46,OUT049,1887.91869
FDG58,OUT027,3911.816773
FDK33,OUT017,3461.129309
NCD07,OUT045,1798.723537
NCX29,OUT027,3765.74858
NCT42,OUT013,2450.979132
DRN59,OUT035,857.0478988
FDI44,OUT035,1372.523752
FDA45,OUT049,2916.209519
FDP31,OUT045,1021.7005
FDY01,OUT046,1935.052019
FDT09,OUT018,1857.782994
DRH03,OUT027,2993.966383
FDA36,OUT018,2695.943981
NCF31,OUT017,2529.766016
FDG14,OUT049,2497.088568
FDG28,OUT027,5338.999657
FDU14,OUT049,4035.61441
FDY47,OUT019,205.6350258
FDI56,OUT049,1549.63241
DRD01,OUT013,1021.297202
FDM22,OUT046,996.4405566
FDH33,OUT013,800.0459806
DRZ24,OUT013,1985.789204
NCQ38,OUT046,1780.139129
FDO16,OUT027,2826.113224
FDU07,OUT027,3840.850692
NCB07,OUT013,3169.444182
FDU48,OUT045,2055.110796
NCM43,OUT045,2568.498404
FDR31,OUT010,395.8775185
DRK49,OUT018,430.6405682
NCI30,OUT010,1957.171762
DRD60,OUT017,2961.746321
NCG19,OUT046,3805.10769
FDH12,OUT035,1777.026992
FDM32,OUT035,1569.369588
FDM27,OUT035,2571.658505
NCU53,OUT027,4098.34276
NCQ18,OUT046,1685.872472
FDS10,OUT013,2930.133224
FDB33,OUT027,3968.286516
FDI12,OUT013,1479.158046
NCW42,OUT013,3588.565133
NCC06,OUT018,1792.509013
FDW02,OUT017,2101.349109
NCD43,OUT017,1765.642791
FDM57,OUT018,1082.275568
FDA58,OUT017,3828.940443
FDK56,OUT046,3024.399882
FDP52,OUT045,3596.748776
FDW20,OUT018,1719.986863
FDS52,OUT049,1705.037017
NCT29,OUT018,1655.696318
NCL54,OUT013,2890.820698
FDC05,OUT045,3084.425518
FDF34,OUT035,3205.193311
FDP03,OUT027,3454.979823
FDD32,OUT010,-556.1659313
FDZ10,OUT045,1983.120821
FDZ40,OUT035,985.0158983
FDD51,OUT018,472.0413391
NCY30,OUT019,959.8087461
FDP58,OUT017,3534.143177
FDV49,OUT017,4255.760823
FDY24,OUT019,-1019.009921
NCO55,OUT017,1810.728333
FDR13,OUT017,1957.860878
FDS51,OUT017,1107.783515
FDP26,OUT045,1628.782133
NCB54,OUT027,3529.590217
FDF32,OUT017,3210.393693
FDN31,OUT018,2734.232613
DRM48,OUT017,704.2232538
FDN20,OUT049,2773.213006
DRL01,OUT046,3771.406349
FDV56,OUT049,1811.752227
DRH13,OUT027,3194.94825
FDA03,OUT017,2408.51401
FDF47,OUT027,5002.269445
